[200.0, 1800.0, 1.0, [456.25422000000003], [521.18], [73.278736], [17.110877785782936]]
[200.0, 700.0, 1.0, [413.42776], [521.18], [73.278736], [16.26610344243513]]
[200.0, 2000.0, 1.0, [369.77306999999996], [636.1800000000001], [60.947838000000004], [15.420596953425635]]
[200.0, 1300.0, 1.0, [250.78969999999998], [415.564], [38.7308546], [12.715545371709386]]
[200.0, 1400.0, 1.0, [299.00275999999997], [504.62], [48.720946], [13.851036542439704]]
[200.0, 400.0, 1.0, [438.2167], [521.18], [73.278736], [16.829609374551744]]
[200.0, 1900.0, 1.0, [295.6834], [504.62], [48.720946], [13.801324353119158]]
[200.0, 1700.0, 1.0, [354.01186], [636.1800000000001], [60.947838000000004], [15.108860883600721]]
[200.0, 500.0, 1.0, [279.68], [371.91], [47.126585999999996], [13.409629230519387]]
[200.0, 1500.0, 1.0, [362.59155], [636.1800000000001], [60.947838000000004], [15.267860131662196]]
[200.0, 100.0, 1.0, [211.104189], [341.504], [32.5445676], [11.656278827310196]]
[200.0, 600.0, 1.0, [221.89831900000001], [341.504], [32.5445676], [11.946606057788966]]
[200.0, 1000.0, 1.0, [296.37271000000004], [504.62], [48.720946], [13.833491442871537]]
[200.0, 1200.0, 1.0, [293.2201], [504.62], [48.720946], [13.76150372234081]]
[200.0, 300.0, 1.0, [367.17775], [636.1800000000001], [60.947838000000004], [15.420013761342757]]
[200.0, 1600.0, 1.0, [419.25389], [521.18], [73.278736], [16.41925362189159]]
[200.0, 900.0, 1.0, [244.22066999999998], [415.564], [38.7308546], [12.544776462735395]]
[200.0, 800.0, 1.0, [244.29380999999998], [415.564], [38.7308546], [12.532003311522065]]
[200.0, 1100.0, 1.0, [244.18571], [415.564], [38.7308546], [12.542975719501333]]
[200.0, 200.0, 1.0, [430.08022], [803.62], [74.306744], [16.640300517118074]]
[300.0, 2000.0, 1.0, [645.49477], [516.58], [54.743863999999995], [12.36997434516337]]
[300.0, 400.0, 1.0, [664.83915], [516.58], [54.743863999999995], [12.519646009372629]]
[300.0, 1000.0, 1.0, [302.97026], [695.0600000000001], [49.81823000000001], [8.461668428862005]]
[300.0, 200.0, 1.0, [654.62692], [516.58], [54.743863999999995], [12.442591860219478]]
[300.0, 1600.0, 1.0, [299.93471999999997], [695.0600000000001], [49.81823000000001], [8.432990068771575]]
[300.0, 1300.0, 1.0, [299.70771], [695.0600000000001], [49.81823000000001], [8.413313859591831]]
[300.0, 800.0, 1.0, [661.11844], [516.58], [54.743863999999995], [12.502896044517046]]
[300.0, 700.0, 1.0, [643.75022], [516.58], [54.743863999999995], [12.304957009270696]]
[300.0, 300.0, 1.0, [639.4455399999999], [516.58], [54.743863999999995], [12.27435248801337]]
[300.0, 900.0, 1.0, [679.0087599999999], [516.58], [54.743863999999995], [12.661375703295436]]
[300.0, 600.0, 1.0, [642.60367], [516.58], [54.743863999999995], [12.285281584074497]]
[300.0, 1400.0, 1.0, [633.7470599999999], [516.58], [54.743863999999995], [12.244179127242463]]
[300.0, 500.0, 1.0, [635.48241], [516.58], [54.743863999999995], [12.225336236684862]]
[300.0, 1200.0, 1.0, [202.706751], [265.144], [32.7027662], [6.928374259521493]]
[300.0, 100.0, 1.0, [356.60373], [516.58], [54.743863999999995], [9.164797275444775]]
[300.0, 1100.0, 1.0, [654.07124], [516.58], [54.743863999999995], [12.418575196052082]]
[300.0, 1900.0, 1.0, [307.00331], [695.0600000000001], [49.81823000000001], [8.504929164901965]]
[300.0, 1500.0, 1.0, [200.03258699999998], [265.144], [32.7027662], [6.853003518166323]]
[300.0, 1700.0, 1.0, [300.66888], [695.0600000000001], [49.81823000000001], [8.390849521949491]]
[300.0, 1800.0, 1.0, [638.4500999999999], [516.58], [54.743863999999995], [12.246224675384655]]
[400.0, 900.0, 1.0, [275.69663], [235.704], [28.113567], [5.441499125241131]]
[400.0, 1200.0, 1.0, [280.59678], [235.704], [28.113567], [5.484004555067401]]
[400.0, 1500.0, 1.0, [276.23920000000004], [235.704], [28.113567], [5.441617727293971]]
[400.0, 200.0, 1.0, [276.69], [235.704], [28.113567], [5.450496791119136]]
[400.0, 1600.0, 1.0, [274.75386], [235.704], [28.113567], [5.448421352098239]]
[400.0, 500.0, 1.0, [276.49657], [235.704], [28.113567], [5.448801940793958]]
[400.0, 1700.0, 1.0, [290.61350999999996], [235.704], [28.113567], [5.5866564428108525]]
[400.0, 300.0, 1.0, [283.20245], [235.704], [28.113567], [5.526492244634023]]
[400.0, 1300.0, 1.0, [282.97889], [235.704], [28.113567], [5.512692183498005]]
[400.0, 1400.0, 1.0, [276.47357], [235.704], [28.113567], [5.464288864985086]]
[400.0, 1100.0, 1.0, [281.34198], [235.704], [28.113567], [5.514390420527005]]
[400.0, 800.0, 1.0, [280.13149], [235.704], [28.113567], [5.5033636596176345]]
[400.0, 100.0, 0.999893, [132.66262], [235.704], [28.113567], [3.787270400961621]]
[400.0, 1000.0, 1.0, [285.13376], [235.704], [28.113567], [5.553616120150905]]
[400.0, 400.0, 1.0, [285.65356], [235.704], [28.113567], [5.550071091436577]]
[400.0, 1800.0, 1.0, [279.44793], [235.704], [28.113567], [5.4835902335969635]]
[400.0, 2000.0, 1.0, [283.17439], [235.704], [28.113567], [5.530158090868651]]
[400.0, 600.0, 1.0, [288.34617000000003], [235.704], [28.113567], [5.5761359569149676]]
[400.0, 700.0, 1.0, [275.93146], [235.704], [28.113567], [5.463185114930666]]
[400.0, 1900.0, 1.0, [276.93863], [235.704], [28.113567], [5.460697955389952]]
[500.0, 1700.0, 1.0, [56.449728], [40.6456], [3.71427414], [1.7718575131764969]]
[500.0, 1100.0, 0.999999, [63.052384], [65.918], [5.114073], [1.874037685320122]]
[500.0, 300.0, 1.0, [58.045169], [40.6456], [3.71427414], [1.793877476585288]]
[500.0, 1300.0, 1.0, [64.476544], [65.918], [5.114073], [1.893096733397425]]
[500.0, 1800.0, 1.0, [54.100232], [40.6456], [3.71427414], [1.7299347216007892]]
[500.0, 1400.0, 1.0, [59.38593099999999], [40.6456], [3.71427414], [1.812941499056161]]
[500.0, 600.0, 1.0, [54.361834], [40.6456], [3.71427414], [1.7400797407015576]]
[500.0, 1900.0, 1.0, [56.973392000000004], [40.6456], [3.71427414], [1.7804182488954667]]
[500.0, 1200.0, 1.0, [59.552910999999995], [40.6456], [3.71427414], [1.8197355230911991]]
[500.0, 800.0, 1.0, [64.480914], [65.918], [5.114073], [1.9014383915867483]]
[500.0, 1000.0, 1.0, [56.858921], [40.6456], [3.71427414], [1.775108649632467]]
[500.0, 2000.0, 1.0, [64.43153300000002], [65.918], [5.114073], [1.8966864619646548]]
[500.0, 700.0, 1.0, [63.667404000000005], [65.918], [5.114073], [1.8782661001572702]]
[500.0, 100.0, 0.991658, [23.481251999999998], [40.6456], [3.71427414], [1.1457678023927884]]
[500.0, 200.0, 0.999951, [39.882506], [40.6456], [3.71427414], [1.4894390497767942]]
[500.0, 1500.0, 1.0, [64.23653900000001], [65.918], [5.114073], [1.8925873921697778]]
[500.0, 900.0, 1.0, [55.822472], [40.6456], [3.71427414], [1.7599890954207644]]
[500.0, 1600.0, 1.0, [58.127532], [40.6456], [3.71427414], [1.7972811341022863]]
[500.0, 500.0, 1.0, [65.701984], [65.918], [5.114073], [1.911848904333185]]
[500.0, 400.0, 1.0, [55.478576], [40.6456], [3.71427414], [1.7570240291470118]]
[600.0, 200.0, 0.983511, [14.636433333333333], [18.768], [1.88428282], [0.5496827844817005]]
[600.0, 1400.0, 0.999684, [30.054820666666668], [30.3278], [2.9384317], [0.7898231107167112]]
[600.0, 1900.0, 0.999607, [29.450948], [30.3278], [2.9384317], [0.7788095702202604]]
[600.0, 100.0, 0.917928, [9.900813066666666], [18.768], [1.88428282], [0.4509697038851083]]
[600.0, 800.0, 0.999528, [23.892185333333334], [18.768], [1.88428282], [0.7024075986680859]]
[600.0, 1200.0, 0.999667, [29.912527333333333], [30.3278], [2.9384317], [0.7852705854954994]]
[600.0, 600.0, 0.999387, [28.197984666666667], [30.3278], [2.9384317], [0.7632236555849434]]
[600.0, 1600.0, 0.999641, [24.562114], [18.768], [1.88428282], [0.7099351547852805]]
[600.0, 400.0, 0.999673, [29.959922666666667], [30.3278], [2.9384317], [0.7873292655836213]]
